"org_uuid","Predicted Funding","Total Funding Received","Number of Founders","Number of organisations founded previously by current Founders","Funding received from organisations founded previously by current Founders","Number of executive jobs held by Founders previously","Funding received from previously held jobs by current Founders","Number of Funding Rounds from previously held jobs by current Founders","Number of Bachelors","University Rankings from Founders' degrees","Number of previous funding rounds","Age at Funding - Series Unknown","Funding Raised (USD) - Series Unknown","Age at Funding - Seed","Funding Raised (USD) - Seed","Number of Investors - Seed","Age at Funding - Series A","Funding Raised (USD) - Series A","Number of Investors - Series A","Funding Raised (USD) - Debt Financing","Age at Funding - Series B","Funding Raised (USD) - Series B","Average organization age at events","Organization Age","name"
"0000d497-c93a-eea3-eeb0-a943dfb4f71e",283126.8358333333,431576.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,34.0,1326531.069651459,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,96.26481036571592,"AutoOffer"
"0002aa63-f21b-4c54-9495-895a1d09e0d4",1414530.1791666667,1500000.0,2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,1500000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,36.27179202858376,"86 Repairs"
"0008f4ac-be62-b6e6-0122-f0c2da7fd1eb",1980047.850833333,2000000.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,26.5,3326531.06965146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,60.28871229388694,"AgShift"
"000ad7a8-b868-f301-5f00-2a3361288fc9",1414530.1791666667,25200000.0,3,0.3333333333333333,1758333.333333333,3.0,1758333.333333333,2.0,1.0,1.0,2.0,0.0,0.0,38.0,1326531.069651459,43.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,109.96529702868642,"Eligible"
"00179a2e-3a3f-4d9f-8f50-d2ab266ef4f7",139966359.7375,140000000.0,3,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,1326531.069651459,4.0,16.0,128000000.0,5.0,0.0,0.0,0.0,20.271463479742916,48.26382471919342,"Roadstar.ai"
"00184562-d645-41c5-ae6b-f8e4359efc4d",4242118.5375,4025000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,40.0,3500000.0,2.4241519674355496,0.0,0.0,0.0,525000.0,0.0,0.0,50.6361176044577,48.26382471919342,"All of Us"
"001a1846-f2b2-c3e4-196d-9cfb2892360c",283126.8358333333,25000.0,2,0.0,0.0,4.0,15000000.0,0.5,0.0,2.0,1.0,0.0,0.0,6.0,25000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,156.29068358693198,"BlenderHouse"
"0023affb-ca57-dad8-0d79-655bac1c15a8",1414530.1791666667,1650000.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,250000.0,2.4241519674355496,17.0,550000.0,1.0,0.0,0.0,0.0,50.97435265611205,168.28271627754162,"BeFunky"
"0023fe17-81b4-43aa-bf7e-a1f54f87dd7d",6504189.224166666,6670000.0,2,0.0,0.0,2.0,547550000.0,2.5,1.0,0.0,5.0,0.0,0.0,5.5,2350000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.538121932688558,40.280087886814925,"Biobot Analytics"
"002484ff-bde7-829a-69c0-3b5e2784aa77",1414530.1791666667,1600000.0,1,0.0,0.0,1.0,628500000.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,105.0,1600000.0,2.0,0.0,0.0,0.0,50.6361176044577,144.26579601223844,"Transerve Technologies"
